date,count
2013-01-01,39
2013-02-01,46
2013-03-01,54
2013-04-01,37
2013-05-01,54
2013-06-01,103
2013-07-01,126
2013-08-01,149
2013-09-01,125
2013-10-01,218
2013-11-01,318
2013-12-01,264
2014-01-01,300
2014-02-01,256
2014-03-01,221
2014-04-01,247
2014-05-01,217
2014-06-01,175
2014-07-01,206
2014-08-01,268
2014-09-01,331
2014-10-01,246
2014-11-01,173
2014-12-01,305
2015-01-01,241
2015-02-01,272
2015-03-01,260
2015-04-01,335
2015-05-01,249
2015-06-01,284
2015-07-01,278
2015-08-01,367
2015-09-01,245
2015-10-01,339
2015-11-01,400
2015-12-01,396
2016-01-01,618
2016-02-01,623
2016-03-01,886
2016-04-01,1017
2016-05-01,1073
2016-06-01,1079
2016-07-01,1032
2016-08-01,1365
2016-09-01,1120
2016-10-01,1159
2016-11-01,1123
2016-12-01,1229
2017-01-01,1350
2017-02-01,1538
2017-03-01,1680
2017-04-01,1401
2017-05-01,2676
2017-06-01,2253
2017-07-01,2868
2017-08-01,2236
2017-09-01,2343
2017-10-01,2328
2017-11-01,3362
2017-12-01,2559
2018-01-01,2516
2018-02-01,2241
2018-03-01,3036
2018-04-01,3395
2018-05-01,3570
2018-06-01,3491
2018-07-01,4720
2018-08-01,5488
2018-09-01,5768
2018-10-01,7298
2018-11-01,2864
