bounty,fav
500,13
1500,20
15000,138
250,11
500,12
50,8
500,5
250,1
50,1
100,7
300,9
350,9
300,7
300,6
200,3
559,8
100,9
1000,18
750,36
320,2
7500,63
650,12
200,11
200,5
150,4
500,16
100,1
2500,24
10000,115
2000,32
1000,14
100,2
25,4
500,4
100,1
1000,15
50,3
6300,91
280,5
750,13
750,11
300,3
2000,32
500,12
15250,88
2000,11
100,17
500,5
2500,32
250,13
800,8
150,2
300,3
1000,51
300,7
500,4
560,11
750,21
700,3
500,5
150,7
500,3
150,22
500,17
140,11
500,11
4000,41
1000,38
500,3
700,5
100,2
150,5
1000,22
2000,37
100,6
1000,23
500,20
2500,37
25,6
600,4
500,18
490,5
50,5
400,4
700,7
700,4
500,24
100,11
250,14
50,8
315,7
25,5
300,2
100,1
350,17
1000,18
100,2
50,6
251,2
100,3
750,12
100,2
25,1
500,10
5000,37
500,5
100,2
500,3
500,1
500,6
500,6
70,3
1500,14
1000,29
1250,14
300,4
1000,3
500,14
750,6
128,11
100,2
150,8
800,4
500,6
250,1
4000,28
250,14
30,11
500,2
150,8
20000,109
250,5
650,4
3500,17
250,12
150,1
40,2
100,5
7000,95
2000,57
2500,44
50,13
500,3
50,10
500,5
500,4
500,24
150,8
384,15
500,9
500,3
500,9
1000,24
10,1
280,6
1000,9
1500,21
250,4
500,2
150,4
25,1
500,17
250,8
100,1
300,1
800,2
250,6
100,3
200,8
800,1
800,1
100,6
200,2
750,8
100,2
500,2
2500,12
500,9
500,4
300,2
800,4
100,6
40,6
500,10
1350,10
250,2
500,9
50,1
300,5
183,3
100,4
50,1
250,8
250,3
5040,68
500,9
150,5
850,11
750,8
600,4
300,5
150,4
500,1
7560,67
800,11
800,2
10080,91
1000,1
300,3
100,4
2000,8
20,1
350,7
150,2
500,9
750,8
200,6
100,5
20,3
20,4
20,3
1500,35
400,10
150,1
750,8
1,1
20,1
50,2
5040,23
200,1
250,4
1,1
750,13
200,5
100,2
1000,6
310,1
100,2
500,4
200,14
150,3
1000,8
90,1
500,3
600,5
60,1
150,3
800,2
1024,26
500,8
500,4
500,2
1000,9
250,2
3000,19
25,2
50,2
1000,19
100,1
50,3
50,11
750,9
350,7
25000,114
350,12
1000,15
225,7
400,10
1500,49
5000,32
1000,59
300,1
100,21
100,2
315,10
1000,18
300,4
500,7
100,3
1000,9
50,7
500,3
550,9
750,9
200,1
250,9
750,5
750,13
5040,126
50,5
2500,19
250,7
1000,33
50,14
350,19
1000,16
150,7
30,6
1000,20
1000,13
1500,26
2000,47
500,44
600,14
250,19
200,12
750,11
1000,13
500,1
1120,52
50,4
150,4
150,7
840,36
450,5
50,2
1250,6
500,11
280,7
888,5
150,4
300,8
200,2
750,31
500,21
100,5
500,4
300,7
500,2
100,1
750,14
40,3
20,2
60,2
20,1
153,2
250,2
1000,6
500,2
500,6
1500,96
1000,10
20,2
500,3
500,10
2000,3
500,4
500,7
500,8
280,17
250,6
250,3
200,2
500,5
500,1
1000,13
2500,32
600,18
250,7
1500,23
100,9
200,13
300,9
500,11
600,16
300,6
100,3
150,7
250,8
1000,7
4500,41
500,14
50,6
500,12
1500,32
500,33
100,3
500,5
500,13
2500,38
1000,23
350,7
2000,45
100,5
256,28
50,9
200,8
1000,13
1000,15
50,7
150,6
50,4
500,3
250,13
200,11
50,2
100,8
1000,25
5000,61
500,5
100,13
100,2
999.99,42
5000,57
500,12
1500,53
150,14
20000,170
343,15
50,14
50,9
1250,45
100,1
250,20
800,33
1000,14
1000,7
375,8
200,1
350,3
50,2
100,1
350,2
300,2
400,1
100,2
100,1
800,1
800,2
800,4
560,5
100,5
250,9
300,6
250,6
4000,9
560,8
140,8
40,3
280,2
50,7
18000,15
6000,17
1000,3
750,22
2000,39
1000,6
275,7
150,4
800,2
1120,14
100,1
500,8
10000,11
800,3
100,1
750,22
150,4
100,2
400,3
500,3
50,2
20000,3
3,4
100,1
50,2
387.50,23
100,1
100,3
60,1
1500,5
128,4
50,1
750,5
100,4
800,5
1120,42
300,12
5000,109
350,9
200,9
300,1
500,13
2500,44
800,1
2520,39
280,6
150,9
768,5
150,1
150,3
500,3
1000,46
150,3
100,1
315,3
500,6
250,5
2000,8
500,10
500,5
500,8
1000,17
100,3
250,8
350,17
250,1
150,3
1000,18
400,17
800,15
150,3
300,5
2000,27
50,5
150,15
200,12
600,31
50,4
100,8
1000,19
600,28
500,11
1000,9
750,12
1000,27
100,4
50,6
250,2
500,13
150,4
250,10
650,42
150,7
500,10
150,11
600,34
150,9
500,3
800,3
500,21
50,3
1000,4
500,33
5000,18
250,6
1500,11
50,4
250,7
500,2
1120,45
1500,7
500,1
250,4
250,3
20,1
750,8
500,4
25,1
1000,5
3000,38
30,3
1000,19
1000,17
100,6
900,9
500,9
500,10
150,10
500,8
500,26
50,4
500,1
500,4
750,13
2500,32
50,5
100,18
2000,11
150,7
25000,50
5040,26
500,4
100,1
250,9
350,2
200,1
125,3
500,4
350,2
3000,22
500,4
2000,16
200,5
500,4
1000,27
500,11
100,4
800,1
500,8
300,5
1500,30
600,12
500,4
315,8
280,20
100,2
100,10
250,5
1000,39
250,1
250,5
250,17
500,13
50,7
200,8
315,10
100,8
100,5
1000,33
5000,60
1260,38
750,24
500,11
250,18
1500,16
250,10
500,12
50,7
500,5
250,7
50,4
300,5
500,8
500,5
150,7
1000,14
500,11
1000,12
60,1
20,2
300,3
8500,51
20,1
1500,5
500,4
500,7
350,2
225,7
500,24
1375,14
100,2
1000,1
150,1
100,5
1400,9
150,2
10000,75
800,3
512,7
100,1
800,1
60,3
20,1
60,1
500,7
20,3
90,1
750,19
256,4
500,3
7560,29
100,2
250,5
250,7
100,1
64,5
200,1
300,15
256,6
200,1
100,4
200,2
500,2
500,9
160,8
20,1
20,1
100,1
10,1
150,1
100,2
1000,10
1500,12
250,2
1500,6
150,3
300,8
100,2
100,3
40,2
30,5
150,4
650,9
500,7
150,2
1000,32
1000,2
600,5
450,9
10000,6
250,12
800,1
2000,3
500,17
2000,23
140,7
150,7
750,4
1000,4
500,1
800,2
200,1
200,2
1500,10
100,7
20,2
150,5
800,6
1350,7
500,11
100,7
10000,3
20,1
420,11
1000,19
750,8
2000,16
500,7
250,9
500,6
20,1
100,5
1050,1
560,10
800,1
100,1
100,3
1000,14
1000,27
8000,40
150,5
1500,38
5000,34
1000,4
150,4
750,12
140,6
350,7
100,3
100,5
100,14
1000,12
25,1
1500,16
100,1
500,1
100,1
60,2
50,3
5000,27
400,60
50,7
40,2
500,5
1000,18
100,2
250,8
1000,8
400,10
20,1
350,8
800,29
100,1
200,8
100,6
25000,223
300,8
4000,42
100,2
1000,65
5000,15
100,17
500,13
1000,27
2000,23
750,9
150,5
150,5
150,1
150,3
100,7
500,13
100,11
500,3
20,1
200,5
5000,67
4000,18
1500,28
1000,6
800,4
250,2
150,3
100,10
1000,8
100,7
500,4
100,20
500,11
21000,70
500,7
500,5
