user,count
Hacker0x01,51928
Jhaddix,32613
L33TSEC,31861
Bugcrowd,29642
martenmickos,22893
sectest9,21811
rootpentesting,19449
caseyjohnellis,11472
jobertabma,10820
NahamSec,10693
BugBountyHQ,9794
yaworsk,8626
disclosedh1,8552
samhouston,8514
zseano,8182
costanoavc,7905
OSVDB,7830
ismailtsdln,7523
jcran,7436
AlyssaHerrera,7039
mongobug,6994
HanseSecure,6865
yeswehack,6463
dewzi,6195
Alra3ees,6140
nnwakelam,6044
akitazen,5979
ITSecurityguard,5926
smiegles,5832
BugcrowdOps,5664
bl4de,5591
jstnkndy,5208
Yassineaboukir,5042
crowdshield,4867
cyberboyIndia,4844
michielprins,4812
thedawgyg,4433
Th3G3nt3lman,4429
bountyfactoryio,4216
g33kspeed,4185
RandomRobbie,4108
SecRich,3853
har1sec,3787
uraniumhacker,3694
PhillipWylie,3630
yappare,3541
anshumanbh,3435
shipcod3,3367
CluelessSec,3141
